query_id,model,d1,d2,d3,d4,d5,total,error_flag,notes,category,critical_error
q014,deepseek-r1,1,0,2,0,No,3,Yes,"missed: renal clearance, bleeding",renal_hepatic,Yes
q014,qwen3-32b,2,2,2,1,No,7,No,,renal_hepatic,No
q015,llama-3.3-70b,0,2,1,0,No,3,Yes,,renal_hepatic,Yes
q015,deepseek-r1,2,2,2,1,No,7,No,,renal_hepatic,No
q015,qwen3-32b,2,2,2,2,No,8,No,,renal_hepatic,No
q016,llama-3.3-70b,2,0,2,0,No,4,Yes,missed: weight-based dosing,pediatrics,No
q016,deepseek-r1,2,0,2,0,No,4,Yes,missed: weight-based dosing,pediatrics,No
q016,qwen3-32b,2,2,2,0,No,6,No,,pediatrics,No
q017,llama-3.3-70b,2,0,2,0,No,4,Yes,missed: weight-based,pediatrics,No
q017,deepseek-r1,2,0,2,0,No,4,Yes,missed: weight-based,pediatrics,No
q017,qwen3-32b,2,0,2,0,No,4,Yes,missed: weight-based,pediatrics,No
q018,llama-3.3-70b,2,0,2,0,No,4,Yes,missed: weight-based,pediatrics,No
q018,deepseek-r1,2,0,2,0,No,4,Yes,missed: weight-based,pediatrics,No
q018,qwen3-32b,1,0,2,0,No,3,Yes,missed: weight-based,pediatrics,Yes
q019,llama-3.3-70b,2,2,0,1,Yes,5,Yes,must_not_say violation,pediatrics,Yes
q019,deepseek-r1,2,2,0,0,Yes,4,Yes,must_not_say violation,pediatrics,Yes
q019,qwen3-32b,2,2,2,1,No,7,No,,pediatrics,No
q020,llama-3.3-70b,2,1,2,1,No,6,No,missed: toxicity,pediatrics,No
q020,deepseek-r1,2,2,0,0,Yes,4,Yes,must_not_say violation,pediatrics,Yes
q020,qwen3-32b,2,2,0,1,Yes,5,Yes,must_not_say violation,pediatrics,Yes
q021,llama-3.3-70b,2,2,0,0,Yes,4,Yes,must_not_say violation,contraindications,Yes
q021,deepseek-r1,2,2,0,1,Yes,5,Yes,must_not_say violation,contraindications,Yes
q021,qwen3-32b,2,2,0,1,Yes,5,Yes,must_not_say violation,contraindications,Yes
q022,llama-3.3-70b,2,0,2,1,No,5,Yes,missed: hemolysis,contraindications,No
q022,deepseek-r1,2,2,0,2,Yes,6,Yes,must_not_say violation,contraindications,Yes
q022,qwen3-32b,2,2,2,1,No,7,No,,contraindications,No
q023,llama-3.3-70b,2,2,2,1,No,7,No,,contraindications,No
q023,deepseek-r1,2,2,2,2,No,8,No,,contraindications,No
q023,qwen3-32b,2,2,2,2,No,8,No,,contraindications,No
q024,llama-3.3-70b,2,1,2,2,No,7,No,missed: vasodilation,contraindications,No
q024,deepseek-r1,2,1,2,1,No,6,No,missed: vasodilation,contraindications,No
q024,qwen3-32b,2,0,2,0,No,4,Yes,"missed: vasodilation, hypotension",contraindications,No
q025,llama-3.3-70b,2,2,2,1,No,7,No,,contraindications,No
q025,deepseek-r1,2,2,2,1,No,7,No,,contraindications,No
q025,qwen3-32b,2,2,2,2,No,8,No,,contraindications,No
q026,llama-3.3-70b,2,2,2,1,No,7,No,,geriatrics,No
q026,deepseek-r1,2,2,0,2,Yes,6,Yes,must_not_say violation,geriatrics,Yes
q026,qwen3-32b,2,2,0,1,Yes,5,Yes,must_not_say violation,geriatrics,Yes
q027,llama-3.3-70b,1,0,2,0,No,3,Yes,missed: hypoglycemia,geriatrics,Yes
q027,deepseek-r1,2,2,2,0,No,6,No,,geriatrics,No
q027,qwen3-32b,1,2,1,0,No,4,Yes,,geriatrics,No
q028,llama-3.3-70b,2,2,2,1,No,7,No,,geriatrics,No
q028,deepseek-r1,1,0,1,1,No,3,Yes,missed: respiratory depression,geriatrics,Yes
q028,qwen3-32b,2,2,2,2,No,8,No,,geriatrics,No
q029,llama-3.3-70b,1,2,2,1,No,6,No,,geriatrics,No
q029,deepseek-r1,2,2,0,2,Yes,6,Yes,must_not_say violation,geriatrics,Yes
q029,qwen3-32b,2,2,0,2,Yes,6,Yes,must_not_say violation,geriatrics,Yes
q030,llama-3.3-70b,2,2,2,1,No,7,No,,geriatrics,No
q030,deepseek-r1,1,2,0,0,Yes,3,Yes,must_not_say violation,geriatrics,Yes
q030,qwen3-32b,2,2,0,1,Yes,5,Yes,must_not_say violation,geriatrics,Yes
