query_id,model,d1,d2,d3,d4,d5,total,error_flag,notes
q021,deepseek-r1,2,2,0,1,Yes,5,Yes,must_not_say violation
q021,qwen3-32b,2,2,0,1,Yes,5,Yes,must_not_say violation
q022,llama-3.3-70b,2,0,2,1,No,5,Yes,missed: hemolysis
q022,deepseek-r1,2,2,0,2,Yes,6,Yes,must_not_say violation
q022,qwen3-32b,2,2,2,1,No,7,No,
q023,llama-3.3-70b,2,2,2,1,No,7,No,
q023,deepseek-r1,2,2,2,2,No,8,No,
q023,qwen3-32b,2,2,2,2,No,8,No,
q024,llama-3.3-70b,2,1,2,2,No,7,No,missed: vasodilation
q024,deepseek-r1,2,1,2,1,No,6,No,missed: vasodilation
q024,qwen3-32b,2,0,2,0,No,4,Yes,"missed: vasodilation, hypotension"
q025,llama-3.3-70b,2,2,2,1,No,7,No,
q025,deepseek-r1,2,2,2,1,No,7,No,
q025,qwen3-32b,2,2,2,2,No,8,No,
q026,llama-3.3-70b,2,2,2,1,No,7,No,
q026,deepseek-r1,2,2,0,2,Yes,6,Yes,must_not_say violation
q026,qwen3-32b,2,2,0,1,Yes,5,Yes,must_not_say violation
q027,llama-3.3-70b,1,0,2,0,No,3,Yes,missed: hypoglycemia
q027,deepseek-r1,2,2,2,0,No,6,No,
q027,qwen3-32b,1,2,1,0,No,4,Yes,
q028,llama-3.3-70b,2,2,2,1,No,7,No,
q028,deepseek-r1,1,0,1,1,No,3,Yes,missed: respiratory depression
q028,qwen3-32b,2,2,2,2,No,8,No,
q029,llama-3.3-70b,1,2,2,1,No,6,No,
q029,deepseek-r1,2,2,0,2,Yes,6,Yes,must_not_say violation
q029,qwen3-32b,2,2,0,2,Yes,6,Yes,must_not_say violation
q030,llama-3.3-70b,2,2,2,1,No,7,No,
q030,deepseek-r1,1,2,0,0,Yes,3,Yes,must_not_say violation
q030,qwen3-32b,2,2,0,1,Yes,5,Yes,must_not_say violation
